GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IstanbulTeknikUniversitesiApi,com.example.demo,IstanbulTeknikUniversitesiApiApplication,5,3,0,0,2,1,1,1,1,1
IstanbulTeknikUniversitesiApi,com.example.demo,FinalRestApi,0,37,0,0,0,11,0,5,0,5
